%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1000000,0,1000000,/dvs_simulator,-29.956932,1.8,10.0,-0.5,0.5,-0.5,0.5
2000000,0,2000000,/dvs_simulator,-29.912857,1.8,10.0,-0.5,0.5,-0.5,0.5
3000000,0,3000000,/dvs_simulator,-29.867672,1.8,10.0,-0.5,0.5,-0.5,0.5
4000000,0,4000000,/dvs_simulator,-29.821278,1.8,10.0,-0.5,0.5,-0.5,0.5
5000000,0,5000000,/dvs_simulator,-29.773567,1.8,10.0,-0.5,0.5,-0.5,0.5
6000000,0,6000000,/dvs_simulator,-29.724434,1.8,10.0,-0.5,0.5,-0.5,0.5
7000000,0,7000000,/dvs_simulator,-29.673782,1.8,10.0,-0.5,0.5,-0.5,0.5
8000000,0,8000000,/dvs_simulator,-29.621504,1.8,10.0,-0.5,0.5,-0.5,0.5
9000000,0,9000000,/dvs_simulator,-29.567492,1.8,10.0,-0.5,0.5,-0.5,0.5
10000000,0,10000000,/dvs_simulator,-29.511648,1.8,10.0,-0.5,0.5,-0.5,0.5
11000000,0,11000000,/dvs_simulator,-29.453876,1.8,10.0,-0.5,0.5,-0.5,0.5
12000000,0,12000000,/dvs_simulator,-29.394054,1.8,10.0,-0.5,0.5,-0.5,0.5
13000000,0,13000000,/dvs_simulator,-29.332094,1.8,10.0,-0.5,0.5,-0.5,0.5
14000000,0,14000000,/dvs_simulator,-29.267887,1.8,10.0,-0.5,0.5,-0.5,0.5
15000000,0,15000000,/dvs_simulator,-29.201328,1.8,10.0,-0.5,0.5,-0.5,0.5
16000000,0,16000000,/dvs_simulator,-29.132324,1.8,10.0,-0.5,0.5,-0.5,0.5
17000000,0,17000000,/dvs_simulator,-29.060751,1.8,10.0,-0.5,0.5,-0.5,0.5
18000000,0,18000000,/dvs_simulator,-28.986525,1.8,10.0,-0.5,0.5,-0.5,0.5
19000000,0,19000000,/dvs_simulator,-28.909534,1.8,10.0,-0.5,0.5,-0.5,0.5
20000000,0,20000000,/dvs_simulator,-28.829681,1.8,10.0,-0.5,0.5,-0.5,0.5
21000000,0,21000000,/dvs_simulator,-28.746857,1.8,10.0,-0.5,0.5,-0.5,0.5
22000000,0,22000000,/dvs_simulator,-28.680002,1.8,10.0,-0.5,0.5,-0.5,0.5
23000000,0,23000000,/dvs_simulator,-28.619999,1.8,10.0,-0.5,0.5,-0.5,0.5
24000000,0,24000000,/dvs_simulator,-28.559998,1.8,10.0,-0.5,0.5,-0.5,0.5
25000000,0,25000000,/dvs_simulator,-28.5,1.8,10.0,-0.5,0.5,-0.5,0.5
26000000,0,26000000,/dvs_simulator,-28.440004,1.8,10.0,-0.5,0.5,-0.5,0.5
27000000,0,27000000,/dvs_simulator,-28.379999,1.8,10.0,-0.5,0.5,-0.5,0.5
28000000,0,28000000,/dvs_simulator,-28.32,1.8,10.0,-0.5,0.5,-0.5,0.5
29000000,0,29000000,/dvs_simulator,-28.260002,1.8,10.0,-0.5,0.5,-0.5,0.5
30000000,0,30000000,/dvs_simulator,-28.200003,1.8,10.0,-0.5,0.5,-0.5,0.5
31000000,0,31000000,/dvs_simulator,-28.140001,1.8,10.0,-0.5,0.5,-0.5,0.5
32000000,0,32000000,/dvs_simulator,-28.080002,1.8,10.0,-0.5,0.5,-0.5,0.5
33000000,0,33000000,/dvs_simulator,-28.02,1.8,10.0,-0.5,0.5,-0.5,0.5
34000000,0,34000000,/dvs_simulator,-27.959999,1.8,10.0,-0.5,0.5,-0.5,0.5
35000000,0,35000000,/dvs_simulator,-27.899998,1.8,10.0,-0.5,0.5,-0.5,0.5
36000000,0,36000000,/dvs_simulator,-27.839996,1.8,10.0,-0.5,0.5,-0.5,0.5
37000000,0,37000000,/dvs_simulator,-27.780001,1.8,10.0,-0.5,0.5,-0.5,0.5
38000000,0,38000000,/dvs_simulator,-27.720001,1.8,10.0,-0.5,0.5,-0.5,0.5
39000000,0,39000000,/dvs_simulator,-27.66,1.8,10.0,-0.5,0.5,-0.5,0.5
40000000,0,40000000,/dvs_simulator,-27.599998,1.8,10.0,-0.5,0.5,-0.5,0.5
41000000,0,41000000,/dvs_simulator,-27.540001,1.8,10.0,-0.5,0.5,-0.5,0.5
42000000,0,42000000,/dvs_simulator,-27.479996,1.8,10.0,-0.5,0.5,-0.5,0.5
43000000,0,43000000,/dvs_simulator,-27.419998,1.8,10.0,-0.5,0.5,-0.5,0.5
44000000,0,44000000,/dvs_simulator,-27.359997,1.8,10.0,-0.5,0.5,-0.5,0.5
45000000,0,45000000,/dvs_simulator,-27.300003,1.8,10.0,-0.5,0.5,-0.5,0.5
46000000,0,46000000,/dvs_simulator,-27.239998,1.8,10.0,-0.5,0.5,-0.5,0.5
47000000,0,47000000,/dvs_simulator,-27.18,1.8,10.0,-0.5,0.5,-0.5,0.5
48000000,0,48000000,/dvs_simulator,-27.119995,1.8,10.0,-0.5,0.5,-0.5,0.5
49000000,0,49000000,/dvs_simulator,-27.059994,1.8,10.0,-0.5,0.5,-0.5,0.5
50000000,0,50000000,/dvs_simulator,-27.0,1.8,10.0,-0.5,0.5,-0.5,0.5
51000000,0,51000000,/dvs_simulator,-26.940002,1.8,10.0,-0.5,0.5,-0.5,0.5
52000000,0,52000000,/dvs_simulator,-26.879997,1.8,10.0,-0.5,0.5,-0.5,0.5
53000000,0,53000000,/dvs_simulator,-26.82,1.8,10.0,-0.5,0.5,-0.5,0.5
54000000,0,54000000,/dvs_simulator,-26.759998,1.8,10.0,-0.5,0.5,-0.5,0.5
55000000,0,55000000,/dvs_simulator,-26.699997,1.8,10.0,-0.5,0.5,-0.5,0.5
56000000,0,56000000,/dvs_simulator,-26.639996,1.8,10.0,-0.5,0.5,-0.5,0.5
57000000,0,57000000,/dvs_simulator,-26.580002,1.8,10.0,-0.5,0.5,-0.5,0.5
58000000,0,58000000,/dvs_simulator,-26.52,1.8,10.0,-0.5,0.5,-0.5,0.5
59000000,0,59000000,/dvs_simulator,-26.460003,1.8,10.0,-0.5,0.5,-0.5,0.5
60000000,0,60000000,/dvs_simulator,-26.399998,1.8,10.0,-0.5,0.5,-0.5,0.5
61000000,0,61000000,/dvs_simulator,-26.339996,1.8,10.0,-0.5,0.5,-0.5,0.5
62000000,0,62000000,/dvs_simulator,-26.279999,1.8,10.0,-0.5,0.5,-0.5,0.5
63000000,0,63000000,/dvs_simulator,-26.220001,1.8,10.0,-0.5,0.5,-0.5,0.5
